clase;edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
T;0;0;4;3;2;14;33;33;6;9;22;2;0;1
T;0;0;32;1;44;141;17;17;3;80;0;5;2;10
T;0;0;27;0;13;21;52;52;0;5;47;5;2;6
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;0;1;0;0;9;9;0;0;3;0;0;0
T;0;0;20;0;25;111599;43;43;6;26;10;1;0;9
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;0;1;0;0;14;14;1;0;1;1;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;0;18;0;9;14;10;10;2;3;0;9;7;9
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;1;1;0;0;6;6;0;0;0;1;0;0
F;0;0;1;0;1;1;2;2;1;0;0;0;0;1
T;0;1;1;1;1;1;11;11;8;0;1;0;0;0
F;0;0;2;0;2;2;6;6;2;0;4;1;0;2
F;0;1;5;0;9;58;7;7;1;47;0;4;1;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;4;0;0;5;8;8;2;2;3;0;0;0
F;0;0;7;0;2;5;34;32;1;4;0;3;0;1
F;0;0;4;0;1;3;4;4;0;0;13;2;0;0
F;2;0;6;0;3;9;1;1;0;0;18;0;0;2
T;0;0;9;2;26;85;35;35;6;16;1;1;0;2
T;0;0;2;1;0;0;21;21;2;0;5;2;0;0
F;1;0;0;0;0;0;1;1;1;0;0;0;0;0
T;0;0;0;0;0;0;13;13;0;0;0;0;0;0
T;1;1;4;0;5;20;8;8;0;16;5;1;0;2
F;0;0;16;0;20;46;34;34;2;21;30;3;1;2
T;0;1;5;1;9;13;49;49;0;0;9;7;1;1
T;0;0;0;0;0;0;14;14;3;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;25;0;21;182;8;8;3;90;5;1;1;10
T;0;0;4;1;7;15;14;14;0;10;2;0;0;3
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;7;1;12;57;11;11;0;45;4;2;0;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;9;0;2;26;52;52;8;23;21;1;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;5;0;1;1;15;15;0;0;11;2;1;1
T;0;0;2;2;1;1;19;19;2;0;6;3;2;0
F;0;0;0;0;0;0;9;9;0;0;1;0;0;0
T;0;0;32;7;1;467;101;101;3;5;31;14;6;1
T;0;0;0;0;0;0;11;11;6;0;15;1;0;0
F;0;0;0;0;0;0;7;7;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;0;0;0;0;7;7;6;0;0;0;0;0
F;0;0;5;0;3;9;5;5;1;0;8;0;0;0
T;0;0;1;1;0;0;21;21;6;0;2;2;0;0
T;0;2;7;0;19;32;12;12;9;14;2;2;1;0
F;0;1;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;1;0;6;11;0;0;0;4;0;0;0;0
T;0;0;12;1;19;31;14;14;0;12;2;3;2;4
F;0;0;4;0;0;2;5;5;0;0;10;0;0;0
T;0;1;15;0;15;62;34;34;5;15;4;1;0;2
F;0;0;0;0;0;0;0;0;0;0;2;0;0;0
F;0;1;0;0;0;0;4;4;1;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;4;2;22;1;14;162;9;9;1;48;9;13;4;6
T;0;0;1;0;0;0;13;13;6;0;0;2;0;0
F;0;0;4;0;1;4;29;29;1;1;8;0;0;1
T;1;0;14;3;23;626;10;10;4;14;2;7;3;10
T;1;0;14;0;275;331;16;16;2;80;11;2;0;6
F;0;0;2;0;1;2;3;3;0;0;1;0;0;0
F;0;0;2;0;0;0;16;16;0;0;2;0;0;0
F;0;0;11;2;10;50;26;26;2;32;12;11;4;9
T;0;0;1;0;0;0;24;24;0;0;6;1;0;0
F;0;0;0;0;0;0;9;9;0;0;3;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;4;1;1;5;10;10;1;0;0;2;1;0
T;0;2;4;0;1;5;24;24;5;3;3;6;0;0
T;0;0;0;2;0;0;44;44;0;0;1;3;3;0
F;0;0;12;0;8;11;0;0;0;2;7;1;1;0
T;0;0;21;1;4;18;14;14;2;12;39;6;3;1
F;0;1;0;0;0;0;11;11;4;0;0;0;0;0
T;0;2;3;1;6;351;31;30;3;16;8;0;0;1
T;0;1;13;5;6;326;33;33;0;28;30;0;0;2
T;0;0;6;1;2;15;99;99;8;9;15;14;7;2
F;0;0;1;0;3;8;9;9;0;0;28;3;1;1
F;0;0;3;0;1;1;9;9;6;0;5;0;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;1;0;0;0
F;2;0;7;0;4;9;5;5;2;4;31;5;5;2
T;0;1;12;0;6;16;57;57;1;5;46;2;0;3
T;0;0;0;3;0;0;14;14;0;0;14;6;2;0
F;0;0;4;0;4;60;19;19;4;4;5;3;1;1
F;2;0;1;0;1;2;2;2;0;1;0;1;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;6;1;2;5;30;30;2;0;13;0;0;1
F;0;0;2;0;2;4;5;5;5;1;0;0;0;0
T;0;0;52;1;207;2706;35;35;14;304;119;0;0;10
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;20;1;18;41;63;63;2;13;7;16;6;9
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;2;2;2;0;1;0;0;0
T;0;1;5;1;11;18;6;6;0;5;11;2;0;1
F;0;0;4;0;1;3;4;4;1;0;3;2;0;1
T;0;0;0;1;0;0;10;10;2;0;8;2;1;0
T;0;0;7;1;119;960;37;37;1;16;10;0;0;0
F;1;0;1;0;1;4;1;1;1;2;1;0;0;0
F;0;1;1;0;0;0;0;0;0;0;0;0;0;0
T;0;0;1;0;1;2;21;21;1;1;14;3;3;1
F;0;0;0;0;0;0;0;0;0;0;5;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;0;0;0;0;0;6;6;2;0;0;0;0;0
T;0;0;13;1;4;27;21;21;2;8;3;6;0;3
T;5;0;35;1;23;608;22;22;6;21;126;3;7;18
F;0;0;1;0;0;0;4;4;0;0;18;0;0;0
T;0;1;10;0;5;13;7;7;4;1;10;7;2;2
F;0;0;0;0;0;0;3;3;1;0;0;0;0;0
F;0;0;2;0;0;0;5;5;1;0;3;1;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;2;46;2;47;207;32;32;5;127;85;11;4;5
T;0;0;21;1;6;18;23;23;3;5;51;0;0;5
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;1;2;0;1;23;23;5;0;1;0;0;0
F;0;0;2;0;1;3;2;2;0;0;1;2;0;1
F;1;2;0;0;0;0;3;3;1;0;1;3;0;0
F;0;0;6;0;1;7;2;2;2;2;1;3;1;1
F;0;0;2;0;0;0;0;0;0;0;9;0;0;0
F;0;0;27;0;57;229;30;30;5;103;70;1;2;3
F;0;0;0;0;0;0;6;6;0;0;1;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;10;0;8;20;35;35;0;11;16;0;1;3
