edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
1;0;8;0;13;24;11;11;7;8;59;5;1;4
1;0;30;1;14;45;14;14;1;14;137;13;0;2
0;0;0;0;0;0;18;18;1;0;8;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;3;1;1;39;8;8;2;5;6;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;5;0;3;54;13;13;4;3;2;0;0;0
0;0;0;0;0;0;5;5;0;0;7;0;0;0
0;0;0;0;0;0;6;6;7;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;2;14;4;4;0;12;0;0;0;2
0;0;0;1;0;0;8;8;0;0;0;1;0;0
0;0;1;1;0;0;19;19;0;0;3;0;0;0
0;0;5;0;0;0;5;5;4;0;21;0;0;0
0;2;1;1;0;0;6;6;0;0;16;1;0;0
1;0;0;1;0;0;23;23;2;0;0;1;0;0
2;1;60;0;188;307;12;12;0;112;120;9;1;17
0;0;0;0;0;0;10;10;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;14;14;0;0;1;2;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2;0;1;2;0;0;0;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;26;0;99;194;13;13;2;82;45;0;1;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;1;0;0;21;21;4;0;13;12;1;0
2;2;2;1;2;4;17;16;0;3;79;1;1;0
1;0;9;0;2;14;11;11;2;7;30;4;3;2
0;0;0;0;0;0;1;1;0;0;0;0;0;0
0;0;1;0;0;1;27;27;1;0;2;0;0;0
0;0;1;0;0;0;0;0;0;0;0;2;0;0
1;0;1;1;1;1;15;14;7;0;0;2;0;1
0;0;0;0;0;0;2;2;1;0;0;0;0;0
